"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"CLE202009290","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naylj001",7,"perer003",2,"naqut001",9,"deshd002",8
"CLE202009300","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naylj001",7,"perer003",2,"naqut001",9,"deshd002",8
