"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"SDN202009300","20200930",0,208,"T","D","SLN","SDN","SAN02","morag901","blasc901","hoyej901",0,"",0,1,91,4,6,0,1,1,233,"gallg001","paddc001","reyea004"
"SDN202010010","20201001",0,408,"T","D","SLN","SDN","SAN02","blasc901","hoyej901","millb901",0,"",0,1,92,4,7,0,1,2,259,"pagae001","poncd001","roset001"
"SDN202010020","20201002",0,408,"T","D","SLN","SDN","SAN02","hoyej901","millb901","eddid901",0,"",0,1,88,3,7,0,1,1,201,"adama002","flahj002",""
