"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"TBA202010050","20201005",0,507,"T","N","NYA","TBA","SAN02","rackd901","buckc901","carlm901",0,"",0,1,84,4,9,0,1,1,218,"coleg001","snelb001",""
"TBA202010060","20201006",0,510,"T","N","NYA","TBA","SAN02","buckc901","carlm901","ticht901",0,"",0,1,79,5,8,0,1,2,223,"glast001","happj001","fairp001"
"NYA202010070","20201007",0,410,"T","D","TBA","NYA","SAN02","carlm901","ticht901","hudsm901",0,"",0,1,75,4,8,0,1,1,212,"mortc002","tanam001",""
"NYA202010080","20201008",0,410,"T","D","TBA","NYA","SAN02","ticht901","hudsm901","estam901",0,"",0,1,73,4,9,0,1,2,194,"greec003","thomr007","chapa001"
"TBA202010090","20201009",0,410,"T","D","NYA","TBA","SAN02","hudsm901","estam901","rackd901",0,"",0,1,73,4,10,0,1,1,201,"castd002","chapa001",""
